EventDate,Period,Page number (if applic),Recipient name (original transcription),Nature of recipient (original transcription),Name,Institution - common name from Exit Books,Town/City,Level of study ,School type,Denomination/organisation,No. of objects,Event information (any extra information not in list of specimens),BHL Exit Book Link,BHL School Letter Book Link (Vol 1 only)
19.10.1877,1876-1914,,W Rainbow,"Warwick, King's School","Rainbow, W",King's School,Warwick,Secondary ,Private,,20,,,https://biodiversitylibrary.org/page/58047698
10.02.1883,1876-1914,37,The Rev Father Sircom,"Stonyhurst College, Blackburn","Sircom, Sebastian, Reverend Professor",Stonyhurst College,Blackburn,Secondary ,Private,Roman Catholic ,8,One box and one package containing the following. Paper taken to Mr Dyer,https://biodiversitylibrary.org/page/55370430,Missing from Letter Book
21.01.1885,1876-1914,85,Herbert Williamson Esq,"Saunders Road Board School, Notting Hill","Williamson, Herbert",Saunders Road Board School,London,Elementary ,Board,,22,"One box of specimens, viz,",https://biodiversitylibrary.org/page/55370480,Missing from Letter Book
28.05.1888,1876-1914,214,Miss Buss,"North London Coll School for Girls, Sandall Road, Camden Road N","Buss, Frances Mary",North London Collegiate School for Girls,London,Secondary ,Private,,52,One box containing the following:-,https://biodiversitylibrary.org/page/55370607,https://biodiversitylibrary.org/page/58047694
11.06.1888,1876-1914,223,Miss A Mizen,"School of Blind, Southwark","Mizen, A",School for the Indigent Blind,London,Elementary ,SEN,,8,(Sent to pits care of Mr Watson 11/6/88),https://biodiversitylibrary.org/page/55370616,Missing from Letter Book
15.06.1888,1876-1914,223,Miss Frances McDonnell,"St George's Infant School, North Road, Brentford","McDonnell, Frances",St George's Infant School,London,Elementary ,Voluntary ,Church of England ,16,,https://biodiversitylibrary.org/page/55370616,Missing from Letter Book
04.10.1888,1876-1914,239,E Richardson Esq,"Shrewsbury Road Board School, East Ham, E","Richardson, E",Shrewsbury Road Board School,London,Elementary ,Board,,23,,https://biodiversitylibrary.org/page/55370632,https://biodiversitylibrary.org/page/58047692
04.10.1888,1876-1914,240,Miss Simmance,"Board School, St Dunstan's Road, Fulham, SW",Simmance,Board School,London,Elementary ,Board,,15,,https://biodiversitylibrary.org/page/55370633,https://biodiversitylibrary.org/page/58047663
04.10.1888,1876-1914,241,Miss Brett,"The Girls' School, Winkfield, Windsor",Brett,The Girls' School,Windsor,Elementary ,Charity ,,14,,https://biodiversitylibrary.org/page/55370634,https://biodiversitylibrary.org/page/58047667
21.06.1889,1876-1914,251,H R Coombs,"Immanuel Church Schools, Streatham Common, SW","Coombs, H R",Immanuel Church Schools,London,Elementary ,Voluntary ,Church of England ,9,,https://biodiversitylibrary.org/page/55370644,https://biodiversitylibrary.org/page/58047671
05.11.1889,1876-1914,254,H Watling Esq,"Cottingham, Uppingham, Rutland [school]","Watling, H",Cottingham School,Rutland,Elementary ,Charity ,,13,Small box containing the following:-,https://biodiversitylibrary.org/page/55370647,https://biodiversitylibrary.org/page/58047675
28.06.1890,1876-1914,294,C E Dunmore Esq,"Board School, Scarsdale Road, Camberwell","Dunmore, Charles E",Board School,London,Elementary ,Board,,20,One box of Museum duplicates as follows:-,https://biodiversitylibrary.org/page/55370687,
28.08.1890,1876-1914,296,S M A Walker Esq,"The Church School, Wintringham, Rillington, York","Walker, S M A",The Church School,York,Elementary ,Voluntary ,Church of England ,18,Small package containing the following:-,https://biodiversitylibrary.org/page/55370689,Missing from Letter Book
12.09.1890,1876-1914,297,Miss A S Haws,"National School, Ilford, Essex","Haws, A S",National School,Ilford,Elementary ,Voluntary ,Church of England ,13,Parcel containing the following:-,https://biodiversitylibrary.org/page/55370690,https://biodiversitylibrary.org/page/58047679
12.09.1890,1876-1914,297,W R Crinan Esq,"Lower Darwen School, Darwen, Lancashire","Crinan, W R",Lower Darwen School,Darwen,Elementary ,Voluntary ,Church of England ,13,One box containing the following:-,https://biodiversitylibrary.org/page/55370690,https://biodiversitylibrary.org/page/58047681
15.11.1890,1876-1914,305,"W H Bottomley, Esq","St Paul's Schools, Lisson Grove NW","Bottomley, W H",St Paul's Schools,London,Elementary ,Voluntary ,Church of England ,18,A collection of duplicates as follows:-,https://biodiversitylibrary.org/page/55370698,https://biodiversitylibrary.org/page/58047689
17.11.1890,1876-1914,306,Hilton Grundy Esq,"St Paul's School, Brentford","Grundy, Hilton",St Paul's School,London,Elementary ,Voluntary ,Church of England ,26,One box containing the following:-,https://biodiversitylibrary.org/page/55370699,
17.12.1890,1876-1914,312,P Clifford Esq,"Boys School, Homer Row Marylebone Road, W","Clifford, P",Boys School,London,Elementary ,Voluntary ,Roman Catholic ,10,Small box of specimens as follows:-,https://biodiversitylibrary.org/page/55370705,https://biodiversitylibrary.org/page/58047691
10.04.1891,1876-1914,315,J Gavan Esq,"St Mary's Boys' School, Isleworth","Gavan, J",St Mary's Boys' School,London,Elementary ,Voluntary ,Roman Catholic ,12,Package containing the following dups,https://biodiversitylibrary.org/page/55370708,https://biodiversitylibrary.org/page/58047708
29.04.1891,1876-1914,318,Miss S Dowling,"St Patrick's School, Great Chapel Street, Oxford Street W","Dowling, S",St Patrick's School,London,Elementary ,Voluntary ,Roman Catholic ,18,Parcel containing the following specimens:-,https://biodiversitylibrary.org/page/55370711,https://biodiversitylibrary.org/page/58047712
29.04.1891,1876-1914,318,Ernest H Vidler Esq,"Victoria Board School, Starch Green, London W","Vidler, Ernest H",Victoria Board School,London,Elementary ,Board,,16,Two parcels containing the following duplicates:-,https://biodiversitylibrary.org/page/55370711,https://biodiversitylibrary.org/page/58047710
07.07.1891,1876-1914,326,"Sister Flora, Head Mistress","Princess Frederica Schools, College Road, Kensal Rise",Flora,Princess Frederica Schools,London,Elementary ,Voluntary ,Church of England ,22,Small box of duplicates as follows:-,https://biodiversitylibrary.org/page/55370719,https://biodiversitylibrary.org/page/58047714
02.09.1891,1876-1914,329,Henry Withers Esq,"School House, Knockholt near Sevenoaks","Withers, Henry",School House,Sevenoaks,Elementary ,Voluntary ,Church of England ,22,One case containing the following:-,https://biodiversitylibrary.org/page/55370722,https://biodiversitylibrary.org/page/58047716
11.11.1891,1876-1914,337,The Head Mistress,"Infant School, Homer Row, Marylebone Road, W",,Infant School,London,Elementary ,Voluntary ,Roman Catholic ,17,One parcel containing the following:-,https://biodiversitylibrary.org/page/55370730,https://biodiversitylibrary.org/page/58047720
03.12.1891,1876-1914,338,Miss E Tovey,"S Mary's School, Battersea","Tovey, E",St Mary's School,London,Elementary ,Voluntary ,Church of England ,51,One box containing the following:-,https://biodiversitylibrary.org/page/55370731,
16.12.1891,1876-1914,342,F A Wood Esq,"Sussex Street Board School, Brighton, Sussex","Wood, F A",Sussex Street Board School,Brighton,Elementary ,Board,,75,Box containing the following:-,https://biodiversitylibrary.org/page/55370735,Missing from Letter Book
25.01.1892,1876-1914,351,Percy J Eyre Esq,"St John's Boys' School, Richmond","Eyre, Percy J",St John's Boys' School,London,Elementary ,Voluntary ,Church of England ,97,One package containing the following specimens:-,https://biodiversitylibrary.org/page/55370744,https://biodiversitylibrary.org/page/58047724
26.01.1892,1876-1914,352,Miss Kellagher,"St John's Girls' School, Portsmouth",Kellagher,St John's Girls' School,Portsmouth,Elementary ,Voluntary ,Roman Catholic ,19,One box of specimens as follows:-,https://biodiversitylibrary.org/page/55370745,https://biodiversitylibrary.org/page/58047726
08.04.1892,1876-1914,359,D Easterbrook Esq,"Boutcher School, Grange Road, Bermondsey","Easterbrook, D",Boutcher School,London,Elementary ,Voluntary ,Church of England ,60,One package containing the following:-,https://biodiversitylibrary.org/page/55370752,https://biodiversitylibrary.org/page/58047728
11.05.1892,1876-1914,361,Edward Montfort Esq,"St Joseph's Boys' School, Pitman Street, Camberwell","Montford, Edward",St Joseph's Boys' School,London,Elementary ,Voluntary ,Roman Catholic ,14,The following collection of duplicates:-,https://biodiversitylibrary.org/page/55370754,https://biodiversitylibrary.org/page/58047734
28.07.1892,1876-1914,362,"Mr Palmer, Head Master","Wesleyan School, Kew Road, Richmond",Palmer,"Wesleyan School, Kew",London,Elementary ,Voluntary ,Wesleyan ,72,,https://biodiversitylibrary.org/page/55370755,
31.08.1892,1876-1914,364,"J R Strubell, Head Master","Cowper Testimonial Boys' School, Hertford, Herts","Strubell, J R",Cowper Testimonial Boys' School,Hertford,Elementary ,Voluntary ,,67,One box of duplicates as follows:-,https://biodiversitylibrary.org/page/55370757,https://biodiversitylibrary.org/page/58047736
08.09.1892,1876-1914,363,R H Rees Esq,"Dowlais Boys School, Dowlais, S Wales","Rees, R H",Dowlais Boys School,Dowlais,Elementary ,Board,,12,The following collection of duplicates:-,https://biodiversitylibrary.org/page/55370756,https://biodiversitylibrary.org/page/58047738
22.09.1892,1876-1914,365,W R Matthews Esq,"Chiswick School Board Boys' School, Chiswick","Matthews, W R",Chiswick School Board Boys' School,London,Elementary ,Board,,61,The following duplicates:-,https://biodiversitylibrary.org/page/55370758,https://biodiversitylibrary.org/page/58047744
22.09.1892,1876-1914,366,Miss E Bootle,Holy Family Infants' School,"Bootle, E",Holy Family Infants' School,London,Elementary ,Voluntary ,Roman Catholic ,52,The following duplicates:-,https://biodiversitylibrary.org/page/55370759,Missing from Letter Book
21.01.1893,1876-1914,372,"H R Coombs Esq, Head Master","Immanuel Church Schools, Streatham Common, SW","Coombs, H R",Immanuel Church Schools,London,Elementary ,Voluntary ,Church of England ,12,A small collection of wood specimens as follows:-,https://biodiversitylibrary.org/page/55370765,https://biodiversitylibrary.org/page/58047746
21.01.1893,1876-1914,373,"Miss A Newman, Head Mistress",East Silverstown Girls School E,"Newman, A",East Silvertown Girls School,London,Elementary ,Voluntary ,Roman Catholic ,10,The following collection of wood specimens:-,https://biodiversitylibrary.org/page/55370766,https://biodiversitylibrary.org/page/58047750
03.03.1893,1876-1914,375,W M Heller Esq,"King's College School, London","Heller, William Mayhowe",King's College School,London,Secondary ,Private,King's College London ,45,One box of specimens as follows:-,https://biodiversitylibrary.org/page/55370768,https://biodiversitylibrary.org/page/58047752
09.03.1893,1876-1914,378,Daniel Hack Esq,"Fir Croft, Withdean, Brighton [school]","Hack, Daniel",Brighton School Board,Brighton,,Board,,3,,https://biodiversitylibrary.org/page/55370771,
16.03.1893,1876-1914,378,Sister Margarita,"Wilberforce School, Kilburn Lane NW",Margarita,Wilberforce School,London,Elementary ,Voluntary ,Church of England ,43,,https://biodiversitylibrary.org/page/55370771,https://biodiversitylibrary.org/page/58047758
18.04.1893,1876-1914,380,J M O'Brien Esq,"St Joseph's School, Bolton Road, Bayswater, W","O'Brien, J M",St Joseph's School,London,Elementary ,Voluntary ,Roman Catholic ,33,Parcel containing the following,https://biodiversitylibrary.org/page/55370773,https://biodiversitylibrary.org/page/58047760
21.09.1893,1876-1914,387,Herrn Prof Dr T F Hanausek,"Breite Gasse 5, Vienna, Austria","Hanausek, Thomas Franz, Professor",Wiener Oberrealschule,Vienna,Secondary ,Private,,3,Handed to Director for transmission,https://biodiversitylibrary.org/page/55370780,
16.10.1893,1876-1914,387,E H Coumbe Esq,"4 St Paul's Place, Canonbury, N [school]","Coumbe, E H",,London,,Board,,13,Parcel containing the following duplicates:-,https://biodiversitylibrary.org/page/55370780,
16.11.1893,1876-1914,390,Miss M Eyres,"Beaumont Park Infants School, Chiswick","Eyres, M",Beaumont Park Infants School,London,Elementary ,Board,,45,Package containing the following duplicates,https://biodiversitylibrary.org/page/55370783,https://biodiversitylibrary.org/page/58047770
13.12.1893,1876-1914,394,Miss E C Baker,"Beaumont Park Girls' Board School, Acton Green, Chiswick","Baker, E C",Beaumont Park Girls' Board School,Dublin,Elementary ,Board,,53,,https://biodiversitylibrary.org/page/55370787,
23.01.1894,1876-1914,397,"Mrs J M Mahl, Head Mistress","Girls' Board School, Turnham Green","Mahl, J M",Girls' Board School,London,Elementary ,Board,,23,Package containing the following:-,https://biodiversitylibrary.org/page/55370790,https://biodiversitylibrary.org/page/58047778
23.01.1894,1876-1914,397,Herbert-Willliamson Esq,"Amberley Road Board School, Harrow Road, W",Herbert-Williamson,Amberley Road Board School,London,Elementary ,Board,,28,Package containing the following:-,https://biodiversitylibrary.org/page/55370790,https://biodiversitylibrary.org/page/58047780
23.01.1894,1876-1914,398,Miss E Davies,"Girls' School, North Street, Isleworth","Davies, E",Girls' School,London,Elementary ,Board,,24,Package containing the following:-,https://biodiversitylibrary.org/page/55370791,https://biodiversitylibrary.org/page/58047786
28.02.1894,1876-1914,402,Walter Parsons Esq,"The Union School, Midhurst, Sussex","Parsons, Walter",The Union School,Sussex,Elementary ,Union,Midhurst Poor Law Union ,32,Package containing the following duplicates,https://biodiversitylibrary.org/page/55370795,https://biodiversitylibrary.org/page/58047790
28.02.1894,1876-1914,403,George Singleton Esq,"Earl of Egmonts' Schools, Easebourne, Midhurst","Singleton, George",Earl of Egmonts' Schools,Midhurst,Elementary ,Voluntary ,Church of England ,27,Parcel containing the following:-,https://biodiversitylibrary.org/page/55370796,https://biodiversitylibrary.org/page/58047792
28.02.1894,1876-1914,404,Alfred Wilkins Esq,"Stourpaine, Blandford, Dorset [school]","Wilkins, Alfred",,Blandford,Unknown,Unknown,,21,Package of duplicates as follows:-,https://biodiversitylibrary.org/page/55370797,https://biodiversitylibrary.org/page/58047794
03.04.1894,1876-1914,409,James Treble Esq,"C E School, Bedlington RSO, Northumberland","Treble, James",CE School,Bedlington,Elementary ,Voluntary ,Church of England ,36,Package containing the following duplicates:-,https://biodiversitylibrary.org/page/55370802,https://biodiversitylibrary.org/page/58047798
03.04.1894,1876-1914,410,W Pates Esq,"11A College Avenue, Hackney [school]","Pates, W",,London,Unknown,Unknown,,46,Package containing the following specimens:-,https://biodiversitylibrary.org/page/55370803,https://biodiversitylibrary.org/page/58047796
17.04.1894,1876-1914,412,Lance Rawes Esq,"Send National Schools, Woking","Rawes, Lance",Send National Schools,Woking,Elementary ,Voluntary ,Church of England ,33,Package containing the following duplicates:-,https://biodiversitylibrary.org/page/55370805,https://biodiversitylibrary.org/page/58047800
17.04.1894,1876-1914,413,A G Sydenham Esq,"Warning Camp Board School, Arundel, Sussex","Sydenham, A G",Warning Camp Board School,Arundel,Elementary ,Board,,32,Package of duplicates as follows:-,https://biodiversitylibrary.org/page/55370806,https://biodiversitylibrary.org/page/58047802
24.04.1894,1876-1914,414,James Northmore Esq,"Gordon Boys' Home, Chobham, Woking","Northmore, James",Gordon Boys' Home,Woking,Elementary ,Technical/vocational ,,31,Package containing the following duplicates:-,https://biodiversitylibrary.org/page/55370807,
03.05.1894,1876-1914,416,James Barker Esq,"63 Glyn Road, Homerton, London [school]","Barker, James",,London,Unknown,Unknown,,25,Small box of duplicates as follows:-,https://biodiversitylibrary.org/page/55370809,https://biodiversitylibrary.org/page/58047806
23.05.1894,1876-1914,418,Miss Blandford,"Easebourne School, Midhurst, Sussex",Blandford,Easebourne School,Midhurst,Elementary ,Voluntary ,Wesleyan ,16,,https://biodiversitylibrary.org/page/55370811,https://biodiversitylibrary.org/page/58047808
23.05.1894,1876-1914,418,The Head Mistress,"Duncton School, near Petworth, Sussex",,Duncton School,Petworth,Elementary ,Voluntary ,Church of England ,13,,https://biodiversitylibrary.org/page/55370811,https://biodiversitylibrary.org/page/58047810
29.05.1894,1876-1914,419,Miss J Rowe,"St Saviours' Girls School, Walthamstow","Rowe, J",St Saviours' Girls School,London,Elementary ,Voluntary ,Church of England ,15,,https://biodiversitylibrary.org/page/55370812,https://biodiversitylibrary.org/page/58047818
29.05.1894,1876-1914,420,Miss Wright,Stock Street Girls' School Plaistow E,Wright,Stock Street Girls' School,London,Elementary ,Board,,12,,https://biodiversitylibrary.org/page/55370813,https://biodiversitylibrary.org/page/58047822
29.05.1894,1876-1914,421,J A Smith Esq,"Holy Trinity Boys' School, Wallington, Surrey","Smith, J A",Holy Trinity Boys' School,Wallington,Elementary ,Voluntary ,Church of England ,11,,https://biodiversitylibrary.org/page/55370814,https://biodiversitylibrary.org/page/58047812
30.05.1894,1876-1914,421,The Head Mistress,"Leasingthorn Board School, Bishop Auckland, Railway Station, Coundon, Durham",,Leasingthorn Board School,Durham,Elementary ,Board,,12,,https://biodiversitylibrary.org/page/55370814,https://biodiversitylibrary.org/page/58047838
30.05.1894,1876-1914,422,F R Sparrow Esq,"Parish Church Schools, Rochdale, Lancashire","Sparrow, F R",Parish Church Schools,Rochdale,,Voluntary ,Church of England ,6,,https://biodiversitylibrary.org/page/55370815,
30.05.1894,1876-1914,422,W Moseley Esq,"St Luke's Mixed School, Chadderton, Oldham, Lancashire","Moseley, W",St Luke's Mixed School,Oldham,Elementary ,Voluntary ,Church of England ,7,,https://biodiversitylibrary.org/page/55370815,https://biodiversitylibrary.org/page/58047828
30.05.1894,1876-1914,422,James E Kaye Esq,"St James Road Board School, Senior Boys' Dept, Derby","Kaye, James E",St James Road Board School,Derby,Elementary ,Board,,4,,https://biodiversitylibrary.org/page/55370815,https://biodiversitylibrary.org/page/58047834
30.05.1894,1876-1914,423,Arnold Prentice Esq,"St Mary's Elms School, Ipswich, Suffolk","Prentice, Arnold",St Mary's Elms School,Ipswich,Elementary ,Voluntary ,Roman Catholic ,4,,https://biodiversitylibrary.org/page/55370816,https://biodiversitylibrary.org/page/58047824
30.05.1894,1876-1914,423,A H Williams Esq,"Albert Road School, Southsea","Williams, A H",Albert Road School,Southsea,Elementary ,Board,,4,,https://biodiversitylibrary.org/page/55370816,https://biodiversitylibrary.org/page/58047832
30.05.1894,1876-1914,423,Miss M R Phillips,"National School, Berwick-on-Tweed","Phillips, M R",National School,Berwick upon Tweed,Elementary ,Voluntary ,Church of England ,4,,https://biodiversitylibrary.org/page/55370816,https://biodiversitylibrary.org/page/58047826
30.05.1894,1876-1914,423,John Roe Esq,"Hatfield Road Board School, St Albans, Herts","Roe, John",Hatfield Road Board School,St Albans,Elementary ,Board,,4,,https://biodiversitylibrary.org/page/55370816,https://biodiversitylibrary.org/page/58047836
17.07.1894,1876-1914,425,Thomas Toop Esq,"Boys National School, Leyton, Essex","Toop, Thomas",Boys National School,Leyton,Elementary ,Voluntary ,Church of England ,13,,https://biodiversitylibrary.org/page/55370818,https://biodiversitylibrary.org/page/58047850
17.07.1894,1876-1914,426,Joseph Spyer Esq,"Coventry Road Board School, Bulwell, Notts","Spyer, Joseph",Coventry Road Board School,Nottingham,Elementary ,Board,,14,Ackd 21.7.94,https://biodiversitylibrary.org/page/55370819,https://biodiversitylibrary.org/page/58047852
17.07.1894,1876-1914,426,George M Graves Esq,"Boys School, Chapel of Ease, Liverpool Road, N","Graves, George M",Boys School,London,Elementary ,Voluntary ,Church of England ,11,Ackd 19.7.94,https://biodiversitylibrary.org/page/55370819,https://biodiversitylibrary.org/page/58047854
17.07.1894,1876-1914,427,Miss J Buchanan,"National Schools, Clutton, near Bristol","Buchanan, J",National Schools,Bristol,Elementary ,Voluntary ,Church of England ,11,,https://biodiversitylibrary.org/page/55370820,https://biodiversitylibrary.org/page/58047858
17.07.1894,1876-1914,427,Miss E Cooper,"S Hilda's Girls' School, Leeds","Cooper, E",St Hilda's Girls' School,Leeds,Elementary ,Voluntary ,Church of England ,10,,https://biodiversitylibrary.org/page/55370820,https://biodiversitylibrary.org/page/58047860
17.07.1894,1876-1914,428,A W Sutherland Esq,"The School House, Strutton Park","Sutherland, A W",The School House,London,Elementary ,Charity ,United Westminster Schools Foundation/Church of England,11,Ackd 20.7.94,https://biodiversitylibrary.org/page/55370821,https://biodiversitylibrary.org/page/58047862
17.07.1894,1876-1914,428,Mrs F E Tootell,"Westby House School, Lytham, Lancashire","Tootell, F E",Westby House School,Lytham,Elementary ,Voluntary ,Roman Catholic ,9,Ackd August 28th 1894,https://biodiversitylibrary.org/page/55370821,https://biodiversitylibrary.org/page/58047842
17.07.1894,1876-1914,428,J H White Esq,"Wesleyan School, Thorpe Hesley, Rotherham","White, J H","Wesleyan School, Rotherham",Rotherham,Elementary ,Voluntary ,Wesleyan ,10,Ackd 21.7.94,https://biodiversitylibrary.org/page/55370821,https://biodiversitylibrary.org/page/58047844
17.07.1894,1876-1914,429,H E Hankinson Esq,"Wesleyan School, Thorner, Leeds","Hankinson, H E","Wesleyan School, Leeds",Leeds,Elementary ,Voluntary ,Wesleyan ,9,Ackd 23.7.94,https://biodiversitylibrary.org/page/55370822,https://biodiversitylibrary.org/page/58047846
17.07.1894,1876-1914,429,S Berchmans Esq,"40 Duncan Terrace, Islington, N [school]","Berchmans, S",,London,Unknown,Unknown,,8,Ackd 20.7.94,https://biodiversitylibrary.org/page/55370822,https://biodiversitylibrary.org/page/58047847
17.07.1894,1876-1914,430,J J Davies Esq,"Board School, Bourne, Lincolnshire","Davies, J J",Board School,Bourne,Elementary ,Board,,8,Ackd 25.7.94,https://biodiversitylibrary.org/page/55370823,https://biodiversitylibrary.org/page/58047848
21.07.1894,1876-1914,430,Percy J Eyre Esq,"St John's Boys School, Richmond","Eyre, Percy J",St John's Boys School,London,Elementary ,Voluntary ,Church of England ,2,,https://biodiversitylibrary.org/page/55370823,
29.08.1894,1876-1914,434,T Woodhead Esq,"St Thomas's Schools, Wigan Street, Bradford, Yorks","Woodhead, T",St Thomas's Schools,Bradford,Elementary ,Voluntary ,Roman Catholic ,16,,https://biodiversitylibrary.org/page/55370827,https://biodiversitylibrary.org/page/58047864
29.08.1894,1876-1914,434,A W Williamson Esq,"National School, New Romney, Kent","Williamson, A W",National School,New Romney,Elementary ,Voluntary ,Church of England ,14,,https://biodiversitylibrary.org/page/55370827,https://biodiversitylibrary.org/page/58047866
29.08.1894,1876-1914,435,James Childs Esq,"The Schools, Balcombe, Sussex","Childs, James",The Schools,Balcombe,Elementary ,Voluntary ,Church of England ,15,Rail Balcombe station L. B & S.C Railway. Ackd 1.9.94,https://biodiversitylibrary.org/page/55370828,https://biodiversitylibrary.org/page/58047868
29.08.1894,1876-1914,435,James Thickett Esq,"The School House, Martin-cum-Grafton York","Thickett, James",The School House,York,Elementary ,Voluntary ,Church of England ,17,,https://biodiversitylibrary.org/page/55370828,https://biodiversitylibrary.org/page/58047870
29.08.1894,1876-1914,436,Miss J Lord,"The Central Girls School, Brimington, Chesterfield","Lord, J",The Central Girls School,Chesterfield,Elementary ,Board,,15,,https://biodiversitylibrary.org/page/55370829,https://biodiversitylibrary.org/page/58047872
29.08.1894,1876-1914,437,W L Hudson Esq,"Green Lane Board School, Leeds","Hudson, W L",Green Lane Board School,Leeds,Elementary ,Board,,14,Ackd 2/9/94,https://biodiversitylibrary.org/page/55370830,https://biodiversitylibrary.org/page/58047874
29.08.1894,1876-1914,437,H Newmarch Esq,"Stanford Rivers School, Romford, Essex","Newmarch, H",Stanford Rivers School,Romford,Elementary ,Voluntary ,Church of England ,14,Ackd 17/9/94 Blake Hall Station G.E. Railway,https://biodiversitylibrary.org/page/55370830,https://biodiversitylibrary.org/page/58047876
29.08.1894,1876-1914,438,E Cole Esq,"British School, Uxbridge","Cole, E",British School,London,Elementary ,Voluntary ,British and Foreign School Society,14,Ackd 4/9/94,https://biodiversitylibrary.org/page/55370831,https://biodiversitylibrary.org/page/58047878
30.08.1894,1876-1914,438,John Griffiths Esq,"The Schools, Wrenbury, Cheshire","Griffiths, John",The Schools,Wrenbury,Elementary ,Board,,13,Ackd 1/9/94 Railway Station Wrenbury L & N.W,https://biodiversitylibrary.org/page/55370831,https://biodiversitylibrary.org/page/58047814
30.08.1894,1876-1914,439,H R Ounsworth Esq,"Iver Boys National School, Uxbridge","Ounsworth, H R",Iver Boys National School,Iver,Elementary ,Voluntary ,Church of England ,13,,https://biodiversitylibrary.org/page/55370832,https://biodiversitylibrary.org/page/58047880
30.08.1894,1876-1914,440,W J Fell Esq,"National Schools, Chacombe, Banbury","Fell, W J",National Schools,Banbury,Elementary ,Voluntary ,Church of England ,11,Ackd 11/9/94,https://biodiversitylibrary.org/page/55370833,https://biodiversitylibrary.org/page/58047882
30.08.1894,1876-1914,440,T H Balance Esq,"Tunstead National School, Stacksteads, Near Manchester","Balance, T H",Tunstead National School,Manchester,Elementary ,Voluntary ,Church of England ,12,,https://biodiversitylibrary.org/page/55370833,https://biodiversitylibrary.org/page/58047884
30.08.1894,1876-1914,441,W H Palmer Esq,"Board School, Park Lane, Romford, Essex","Palmer, W H",Board School,Romford,Elementary ,Board,,9,Ackd 3/9/94,https://biodiversitylibrary.org/page/55370834,https://biodiversitylibrary.org/page/58047886
31.08.1894,1876-1914,441,Edwin Ashton Esq,"Yorktown School, Camberley","Ashton, Edwin",Yorktown Girls School,Camberley,Elementary ,Voluntary ,Church of England ,8,Ackd 5/9/94,https://biodiversitylibrary.org/page/55370834,https://biodiversitylibrary.org/page/58047888
31.08.1894,1876-1914,441,F B Gile Esq,"Higher Grade Board School, Hanley, Stafford","Gile, F B",Higher Grade Board School,Stafford,Secondary ,Board,,9,Ackd 7/9/94,https://biodiversitylibrary.org/page/55370834,https://biodiversitylibrary.org/page/58047890
31.08.1894,1876-1914,442,C F Baker Esq,"York Street Boys School, Hanley, Stafford","Baker, C F",York Street Boys School,Stafford,Elementary ,Board,,8,Ackd 3/9/94,https://biodiversitylibrary.org/page/55370835,https://biodiversitylibrary.org/page/58047892
31.08.1894,1876-1914,442,W Quelch Esq,"Welton Schools, Daventry, Northampton","Quelch, W",Welton Schools,Northampton,Elementary ,Private,Church of England ,8,Ackd 1/9/94,https://biodiversitylibrary.org/page/55370835,https://biodiversitylibrary.org/page/58047894
31.08.1894,1876-1914,443,J Woolman Esq,"Wellgate Board School, Rotherham, Yorks","Woolman, J",Wellgate Board School,Rotherham,Elementary ,Board,,7,Ackd 3/9/94,https://biodiversitylibrary.org/page/55370836,
31.08.1894,1876-1914,443,Charles Corbetta Esq,"High Street, Lavenham, Suffolk [school]","Corbetta, Charles",,Lavenham,Unknown,Unknown,,8,Ackd 5/9/94,https://biodiversitylibrary.org/page/55370836,https://biodiversitylibrary.org/page/58047896
31.08.1894,1876-1914,443,John Hall Esq,"Grammar School, Whitby, Yorks","Hall, John",Grammar School,Whitby,Secondary ,Endowed/grammar,,7,Ackd 18/9/94,https://biodiversitylibrary.org/page/55370836,https://biodiversitylibrary.org/page/58047898
31.08.1894,1876-1914,444,H Lewis Esq,"Boys Board School, Llangollen, N Wales","Lewis, H",Boys Board School,Llangollen,Elementary ,Board,,9,Ackd 3/9/94,https://biodiversitylibrary.org/page/55370837,https://biodiversitylibrary.org/page/58047900
31.08.1894,1876-1914,444,William Jones Esq,"Brown Edge Schools, Smallthorne, Stoke-on-Trent","Jones, William",Brown Edge Schools,Stoke-on-Trent,Elementary ,Board,,8,Ackd 5/9/94,https://biodiversitylibrary.org/page/55370837,https://biodiversitylibrary.org/page/58047902
31.08.1894,1876-1914,444,A R Pickler Esq,"Burnley Wood Board Schools, Burnley Lancashire","Pickler, A R",Burnley Wood Board Schools,Burnley,Elementary ,Board,,10,Ackd 11/9/94,https://biodiversitylibrary.org/page/55370837,https://biodiversitylibrary.org/page/58047904
31.08.1894,1876-1914,445,Miss Anita Williams,"Knowle Schools, Totterdown, Bristol","Williams, Anita",Knowle Schools,Bristol,Elementary ,Board,,8,Ackd 10/9/94,https://biodiversitylibrary.org/page/55370838,https://biodiversitylibrary.org/page/58047906
31.08.1894,1876-1914,445,W H Griffen Esq,"British Schools, Melton Mowbray","Griffen, W H",British Schools,Melton Mowbray,Elementary ,Voluntary ,British and Foreign School Society,9,Ackd 3/9/94,https://biodiversitylibrary.org/page/55370838,https://biodiversitylibrary.org/page/58047908
31.08.1894,1876-1914,446,W H Steadman Esq,"High Street Board School, Northfleet, Kent","Steadman, W H",High Street Board School,Northfleet,Elementary ,Board,,8,Ackd 10/9/94,https://biodiversitylibrary.org/page/55370839,https://biodiversitylibrary.org/page/58047910
