EventDate,Period,Page number (if applic),Recipient name (original transcription),Nature of recipient (original transcription),Name,Institution - common name from Exit Books,Town/City,Level of study ,School type,Denomination/organisation,No. of objects,Event information (any extra information not in list of specimens),BHL Exit Book Link,BHL School Letter Book Link (Vol 1 only)
17.02.1909,1876-1914,83,The Head Mistress (E N Gothard),"Aldreth Council School, Haddenham, Ely, Cambs","Gothard, E N",Aldreth Council School,Ely,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/57407598,
17.02.1909,1876-1914,83,The Head Master (A Stott),"St Paul's Boys School, Preston, Lancs","Stott, A",St Paul's Boys School,Preston,Elementary ,Voluntary,Church of England ,20,,https://biodiversitylibrary.org/page/57407598,
17.02.1909,1876-1914,83,The Head Master (J H Cushing),"Spooner Rd School, Wymondham, Norfolk","Cushing, J H",Spooner Road School,Wymondham,Elementary ,Board,,20,Ack Feb 20 1909 by Mr Cushing,https://biodiversitylibrary.org/page/57407598,
17.02.1909,1876-1914,84,The Head Mistress,"St Margaret's Ind Sch, Mill Hill, Hendon, NW",,St Margaret's Industrial School,London,Elementary ,Industrial ,Roman Catholic ,20,Ack by S M Agnes Hd Mistress 19.11.09 St Mary's Abbey School,https://biodiversitylibrary.org/page/57407599,
17.02.1909,1876-1914,84,The Head Master (E J Williams),"Council Schools, Misterton, Gainsboro","Williams, E J",Council Schools,Gainsborough,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/57407599,
17.02.1909,1876-1914,84,The Head Mistress (Mabel Ellison),"School House, Stretton, Warrington","Ellison, Mabel",School House,Warrington,Elementary ,Voluntary,Church of England ,20,Ack Feb 23rd 1909 by M J Ellison,https://biodiversitylibrary.org/page/57407599,
18.02.1909,1876-1914,84,The Head Master (J W Turner),"Council School, Bledlow Ridge, nr Wallingford","Turner, J W",Council School,Wallingford,Elementary ,Board,,18,,https://biodiversitylibrary.org/page/57407599,
18.02.1909,1876-1914,84,The Head Master (J H Neal),"Council Schools, White Hill, Crowboro', Sussex","Neal, J H",Council Schools,Crowborough,Elementary ,Board,,18,,https://biodiversitylibrary.org/page/57407599,
18.02.1909,1876-1914,84,The Head Master (F Frecknall),"Warton School, Atherstone","Frecknall, F",Warton School,Atherstone,Elementary ,Endowed/Grammar ,,18,Ack Feb 23 1909 by Mr Frecknall,https://biodiversitylibrary.org/page/57407599,
18.02.1909,1876-1914,84,The Head Master (C W Coggins),"St Joseph's Schools, Heywood, Lancs","Coggins, C W",St Joseph's Schools,Heywood,Elementary ,Voluntary,Roman Catholic ,18,,https://biodiversitylibrary.org/page/57407599,
18.02.1909,1876-1914,85,The Head Master (W Stermton),"Stoke Goldington School, Newport Pagnell","Stermton, W",Stoke Goldington School,Newport Pagnell,Elementary ,Voluntary,Church of England ,18,Ack Feb 23.1909 by Mr Sterenton,https://biodiversitylibrary.org/page/57407600,
