(13, 'point')
(13, 'told')
(13, 'however')
(13, 'shadow')
(13, 'expression')
(13, 'tone')
(13, 'savage')
(13, 'shutter')
(13, 'nearly')
(13, 'between')
(13, 'few')
(13, 'afterwards')
(13, 'reason')
(13, 'since')
(13, 'imagine')
(13, 'doubt')
(13, 'body')
(13, 'door')
(13, 'almost')
(12, 'against')
(12, 'sun')
(12, 'past')
(12, 'mystery')
(12, 'set')
(12, 'trouble')
(12, 'live')
(12, 'others')
(12, 'immense')
(12, 'quite')
(12, 'shook')
(12, 'quiet')
(12, 'burst')
(12, 'wood')
(12, 'brought')
(12, 'might')
(12, 'smoke')
(12, 'coming')
(12, 'else')
(12, 'shall')
(12, 'english')
(12, 'care')
(12, 'empty')
(12, 'soon')
(12, 'given')
(12, 'better')
(12, 'wheel')
(11, 'sky')
(11, 'making')
(11, 'best')
(11, 'aspect')
(11, 'meaning')
(11, 'fine')
(11, 'wild')
(11, 'suppose')
(11, 'chap')
(11, 'dream')
(11, 'sure')
(11, 'around')
(11, 'simple')
(11, 'rather')
(11, 'matter')
(11, 'several')
(11, 'impossible')
(11, 'sound')
(11, 'beyond')
(11, 'reach')
(11, 'fellows')
(11, 'arms')
(11, 'mud')
(11, 'legs')
(11, 'dear')
(11, 'fact')
(11, 'ah')
(11, 'find')
(11, 'sight')
(11, 'heads')
(11, 'absurd')
(11, 'whisper')
(10, 'gloom')
(10, 'ships')
(10, 'always')
(10, 'run')
(10, 'strength')
(10, 'pole')
(10, 'opened')
(10, 'middle')
(10, 'large')
(10, 'murmured')
(10, 'nose')
(10, 'rose')
(10, 'altogether')
(10, 'mean')
(10, 'perfectly')
(10, 'danger')
(10, 'pilot')
(10, 'marlow')
(10, 'straight')
(10, 'profound')
(10, 'faces')
(10, 'sense')
(10, 'wouldn')
(10, 'vanished')
(10, 'blue')
(10, 'desire')
(10, 'sick')
(10, 'sorrow')
(9, 'turn')
(9, 'ran')
(9, 'brooding')
(9, 'already')
(9, 'indeed')
(9, 'whose')
(9, 'hours')
(9, 'charge')
(9, 'used')
(9, 'savages')
(9, 'fog')
(9, 'ought')
(9, 'try')
(9, 'filled')
(9, 'depths')
(9, 'living')
(9, 'fancy')
(9, 'started')
(9, 'shoulder')
(9, 'getting')
(9, 'business')
(9, 'certain')
(9, 'carried')
(9, 'movement')
(9, 'wonder')
(9, 'lived')
(9, 'open')
(9, 'agent')
(9, 'row')
(9, 'curious')
(9, 'love')
(9, 'power')
(9, 'leaped')
(9, 'trying')
(9, 'year')
(9, 'both')
(9, 'strange')
(9, 'snag')
(9, 'knowledge')
(9, 'somewhere')
(9, 'sombre')
(9, 'whom')
(9, 'moved')
(9, 'ship')
(9, 'hundred')
(9, 'camp')
(9, 'woods')
(9, 'closed')
(9, 'mad')
(9, 'affair')
(9, 'show')
